DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O75600,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P24298,Alanine aminotransferase 1,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y617,Phosphoserine aminotransferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P13196,"5-aminolevulinate synthase, nonspecific, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P21549,Serine--pyruvate aminotransferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96GD0,Pyridoxal phosphate phosphatase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15269,Serine palmitoyltransferase 1,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P32929,Cystathionine gamma-lyase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P54687,"Branched-chain-amino-acid aminotransferase, cytosolic",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O94903,Proline synthase co-transcribed bacterial homolog protein,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P00505,"Aspartate aminotransferase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11216,"Glycogen phosphorylase, brain form",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11217,"Glycogen phosphorylase, muscle form",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P20711,Aromatic-L-amino-acid decarboxylase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q2TU84,Aspartate aminotransferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q53ET4,Serine hydroxymethyltransferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q59FK2,Selenocysteine lyase variant,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q59GM9,"Alpha-1,4 glucan phosphorylase",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q5JAM2,5-aminolevulinate synthase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q5VZ30,"Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6IBS8,DDC protein,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6YP21,Kynurenine--oxoglutarate transaminase 3,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6ZQY3,Acidic amino acid decarboxylase GADL1,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96I15,Selenocysteine lyase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6WRI0,Immunoglobulin superfamily member 10,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8IUZ5,5-phosphohydroxy-L-lysine phospho-lyase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8IVA8,"Glutamate decarboxylase 1 (Brain, 67kDa)",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P34897,"Serine hydroxymethyltransferase, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P22557,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8TD30,Alanine aminotransferase 2,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96EN8,Molybdenum cofactor sulfurase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96GA7,Serine dehydratase-like,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9BXA1,Hepatic peroxysomal alanine:glyoxylate aminotransferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9GZT4,Serine racemase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9HD40,O-phosphoseryl-tRNA(Sec) selenium transferase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9NUV7,Serine palmitoyltransferase 3,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9UGI5,Glutamic acid decarboxylase,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9UJX1,Alanine-glyoxylate aminotransferase homolog,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q99707,Methionine synthase,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00115,Cyanocobalamin,SmallMoleculeDrug,P22033,"Methylmalonyl-CoA mutase, mitochondrial",C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q9UBK8,Methionine synthase reductase,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q8IVH4,"Methylmalonic aciduria type A protein, mitochondrial",C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q9Y4U1,Methylmalonic aciduria and homocystinuria type C protein,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00115,Cyanocobalamin,SmallMoleculeDrug,P42898,Methylenetetrahydrofolate reductase,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P48728,"Aminomethyltransferase, mitochondrial",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P34897,"Serine hydroxymethyltransferase, mitochondrial",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P34896,"Serine hydroxymethyltransferase, cytosolic",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,Q99707,Methionine synthase,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,O95954,Formimidoyltransferase-cyclodeaminase,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,O75891,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P31939,Bifunctional purine biosynthesis protein PURH,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,Q53ET4,Serine hydroxymethyltransferase,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,P42898,Methylenetetrahydrofolate reductase,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00116,Tetrahydrofolic acid,SmallMoleculeDrug,Q96DP5,"Methionyl-tRNA formyltransferase, mitochondrial",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
DB00117,Histidine,SmallMoleculeDrug,P19113,Histidine decarboxylase,N[C@@H](Cc1c[nH]cn1)C(=O)O
DB00117,Histidine,SmallMoleculeDrug,P42357,Histidine ammonia-lyase,N[C@@H](Cc1c[nH]cn1)C(=O)O
DB00117,Histidine,SmallMoleculeDrug,Q99624,Sodium-coupled neutral amino acid transporter 3,N[C@@H](Cc1c[nH]cn1)C(=O)O
DB00117,Histidine,SmallMoleculeDrug,P12081,"Histidine--tRNA ligase, cytoplasmic",N[C@@H](Cc1c[nH]cn1)C(=O)O
DB00118,Ademetionine,SmallMoleculeDrug,P17707,S-adenosylmethionine decarboxylase proenzyme,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00118,Ademetionine,SmallMoleculeDrug,P31153,S-adenosylmethionine synthase isoform type-2,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00118,Ademetionine,SmallMoleculeDrug,P35520,Cystathionine beta-synthase,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00118,Ademetionine,SmallMoleculeDrug,Q14749,Glycine N-methyltransferase,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00118,Ademetionine,SmallMoleculeDrug,Q00266,S-adenosylmethionine synthase isoform type-1,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00118,Ademetionine,SmallMoleculeDrug,P21964,Catechol O-methyltransferase,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
